url,main_title,title,description,attachment_url,published_at,created_at,last_modified_at
"https://bip.nadarzyn.pl/88,zawiadomienia-o-zwolaniu-sesji?tresc=18005#plik_20955",Zawiadomienie o zwołaniu Sesji Rady Gminy Nadarzyn,projekt_nr_(44).pdf(PDF),Załącznik do Zarządzenia Nr 49 2025 Wójta Gminy Nadarzyn z dnia 29 maja 2025 r Znak sprawy S 0640 1 2025 RAPORT O STANIE GMINY NADARZYN podsumowanie działalności Wójta Gminy Nadarzyn w 2024 r...,"https://bip.nadarzyn.pl/plik,20955,projekt-nr-44-pdf.pdf",2025-06-25,,
"https://bip.nadarzyn.pl/1047,rok-2025?tresc=17909#plik_20870",Zarządzenie Nr 49/2025,Zarządzenie Nr_49 __RAPORT_maj_2025_zal .pdf(PDF),Załącznik do Zarządzenia Nr 49 2025 Wójta Gminy Nadarzyn z dnia 29 maja 2025 r Znak sprawy S 0640 1 2025 RAPORT O STANIE GMINY NADARZYN podsumowanie działalności Wójta Gminy Nadarzyn w 2024 r...,"https://bip.nadarzyn.pl/plik,20870,zarzadzenie-nr-49-raport-maj-2025-zal-pdf.pdf",2025-05-30,,2025-05-30
"https://bip.nadarzyn.pl/556,raport-o-stanie-gminy?nobreakup#plik_20869",Raport o stanie gminy za 2024 rok,Zarządzenie Nr 49 _2025_załącznik(PDF),Załącznik do Zarządzenia Nr 49 2025 Wójta Gminy Nadarzyn z dnia 29 maja 2025 r Znak sprawy S 0640 1 2025 RAPORT O STANIE GMINY NADARZYN podsumowanie działalności Wójta Gminy Nadarzyn w 2024 r...,"https://bip.nadarzyn.pl/plik,20869,zarzadzenie-nr-49-2025-zalacznik.pdf",2025-05-30,,
"https://bip.nadarzyn.pl/994,mpzp-dla-obszarow-nr-i-ii-we-wsi-kajetany-dz-ew-245-1-do-245-8-247-1-do-247-3-247-5-oraz-247-6?nobreakup#plik_20078",Wyłożenie do publicznego wglądu projektu MPZP dla obszaru II we wsi Kajetany w Gminie Nadarzyn w dniach od 23.01.2025r. do 14.02.2025 r.,05_PrognozaOS_mpzp_Kajetany_obszar-II[wyłożenie].pdf(PDF),Wójt Gminy Nadarzyn PROGNOZA ODDZIAŁYWANIA NA ŚRODOWISKO DO PROJEKTU MIEJSCOWEGO PLANU ZAGOSPODAROWANIA PRZESTRZENNEGO DLA OBSZARU NR II WE WSIKAJETANYW GMINIE NADARZYN Etap wyłożenie do...,"https://bip.nadarzyn.pl/plik,20078,05-prognozaos-mpzp-kajetany-obszar-ii-wylozenie-pdf.pdf",2025-01-23,2025-01-23,
"https://bip.nadarzyn.pl/994,mpzp-dla-obszarow-nr-i-ii-we-wsi-kajetany-dz-ew-245-1-do-245-8-247-1-do-247-3-247-5-oraz-247-6?nobreakup#plik_20075",Wyłożenie do publicznego wglądu projektu MPZP dla obszaru II we wsi Kajetany w Gminie Nadarzyn w dniach od 23.01.2025r. do 14.02.2025 r.,01_Projekt_uchwały_mpzp_Kajetany_obszar_II[wyłożenie].pdf(PDF),Projekt miejscowego planu zagospodarowania przestrzennego dla Obszaru Nr II we wsiKajetanyw Gminie Nadarzyn ETAP wyłożenie do publicznego wglądu Uchwała Nr Rady Gminy Nadarzyn z dnia w sprawie...,"https://bip.nadarzyn.pl/plik,20075,01-projekt-uchwaly-mpzp-kajetany-obszar-ii-wylozenie-pdf.pdf",2025-01-23,2025-01-23,
"https://bip.nadarzyn.pl/73,komunikaty-i-ogloszenia?nobreakup#plik_21127",Decyzja Wójta Gminy Nadarzyn Nr 11/2025,Decyzja Wójta Gminy Nadarzyn Nr 11/2025 (ROŚ.6220.17.2024.DSZ.13)(PDF),WÓJT GMINY NADARZYN Nadarzyn dnia 25 07 2025 r ul Mszczonowska 24 05 830 Nadarzyn ROŚ 6220 17 2024 DSZ 13 DECYZJA Nr 11 2025 Na podstawie art 104 ustawy z dnia 14 czerwca 1960 r Kodeks postępowania...,"https://bip.nadarzyn.pl/plik,21127,decyzja-wojta-gminy-nadarzyn-nr-11-2025-ros-6220-17-2024-dsz-13.pdf",2025-07-25,,2025-07-29
"https://bip.nadarzyn.pl/73,komunikaty-i-ogloszenia?nobreakup#plik_21091",Obwieszczenie Wójta Gminy Nadarzyn z dnia 18.07.2025 r.,Dec. nr 10_2025 Centrum przetwarzania danych Kajetany.pdf(PDF),WÓJT GMINY NADARZYN ul Mszczonowska 24 05 830 Nadarzyn Nadarzyn dnia 18 07 2025 r ROŚ 6220 23 2024 DSZ 8 DECYZJA Nr 10 2025 Na podstawie art 104 ustawy z dnia 14 czerwca 1960 r Kodeks postępowania...,"https://bip.nadarzyn.pl/plik,21091,dec-nr-10-2025-centrum-przetwarzania-danych-kajetany-pdf.pdf",2025-07-18,,
"https://bip.nadarzyn.pl/994,mpzp-dla-obszarow-nr-i-ii-we-wsi-kajetany-dz-ew-245-1-do-245-8-247-1-do-247-3-247-5-oraz-247-6?nobreakup#pliki_4697",Wykaz uwag zgłoszonych do wyłożonego do publicznego wglądu projektu MPZP dla Obszaru Nr II we wsi Kajetany w Gminie Nadarzyn,Wykaz uwag (skan).pdf(PDF),,"https://bip.nadarzyn.pl/plik,20536,wykaz-uwag-skan-pdf.pdf",2025-03-26,,
"https://bip.nadarzyn.pl/994,mpzp-dla-obszarow-nr-i-ii-we-wsi-kajetany-dz-ew-245-1-do-245-8-247-1-do-247-3-247-5-oraz-247-6?nobreakup#pliki_4692",Protokół z dyskusji publicznej nad rozwiązaniami przyjętymi w projekcie miejscowego planu zagospodarowania przestrzennego dla Obszaru Nr II we wsi Kajetany w Gminie Nadarzyn wraz z prognozą oddziaływania na środowisko,Protokół z dyskusji publicznej obszar II.pdf(PDF),,"https://bip.nadarzyn.pl/plik,20525,protokol-z-dyskusji-publicznej-obszar-ii-pdf.pdf",2025-03-25,,
"https://bip.nadarzyn.pl/994,mpzp-dla-obszarow-nr-i-ii-we-wsi-kajetany-dz-ew-245-1-do-245-8-247-1-do-247-3-247-5-oraz-247-6?nobreakup#pliki_4598",Wyłożenie do publicznego wglądu projektu MPZP dla obszaru II we wsi Kajetany w Gminie Nadarzyn w dniach od 23.01.2025r. do 14.02.2025 r.,01_Projekt_uchwały_mpzp_Kajetany_obszar_II[wyłożenie].pdf(PDF),,"https://bip.nadarzyn.pl/plik,20075,01-projekt-uchwaly-mpzp-kajetany-obszar-ii-wylozenie-pdf.pdf",2025-01-23,2025-01-23,
